date1,datetime,cash_type,card,money,coffee_name
April,April  7:45:17 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0096,28.9,Cortado
April,April  7:29:17 PM,card,ANON-0000-0000-0097,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0098,38.7,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0098,28.9,Cortado
April,April  8:34:17 PM,cash,,40,Latte
April,April  8:34:17 PM,cash,,40,Cappuccino
April,April  7:29:17 PM,cash,,30,Americano
April,April  7:29:17 PM,cash,,40,Cocoa
April,April  3:39:48 PM,card,ANON-0000-0000-0003,24,Espresso
April,April  4:19:03 PM,card,ANON-0000-0000-0099,33.8,Americano with Milk
April,April  6:39:04 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
April,April  7:22:02 PM,card,ANON-0000-0000-0040,28.9,Americano
April,April  7:23:16 PM,card,ANON-0000-0000-0009,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0091,38.7,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0100,28.9,Cortado
April,April  7:45:17 PM,card,ANON-0000-0000-0100,24,Espresso
April,April  7:29:17 PM,card,ANON-0000-0000-0101,38.7,Hot Chocolate
April,April  7:29:17 PM,card,ANON-0000-0000-0101,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0102,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0103,38.7,Cappuccino
April,April  8:34:17 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0104,38.7,Cappuccino
April,April  7:29:17 PM,cash,,25,Espresso
April,April  7:29:17 PM,cash,,35,Americano with Milk
April,April  3:39:48 PM,card,ANON-0000-0000-0017,38.7,Latte
April,April  4:19:03 PM,card,ANON-0000-0000-0105,28.9,Americano
April,April  6:39:04 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
April,April  7:22:02 PM,card,ANON-0000-0000-0106,38.7,Cappuccino
April,April  7:23:16 PM,cash,,40,Cappuccino
April,April  7:29:17 PM,cash,,30,Americano
April,April  7:45:17 PM,card,ANON-0000-0000-0091,38.7,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0107,38.7,Hot Chocolate
April,April  7:45:17 PM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
April,April  7:45:17 PM,cash,,25,Espresso
April,April  7:29:17 PM,cash,,40,Hot Chocolate
April,April  7:29:17 PM,card,ANON-0000-0000-0108,24,Espresso
April,April  8:34:17 PM,card,ANON-0000-0000-0009,38.7,Cappuccino
April,April  8:34:17 PM,card,ANON-0000-0000-0109,38.7,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0110,28.9,Americano
April,April  8:34:17 PM,card,ANON-0000-0000-0110,28.9,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0017,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0106,38.7,Cappuccino
April,April  3:39:48 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
April,April  4:19:03 PM,card,ANON-0000-0000-0019,38.7,Hot Chocolate
April,April  6:39:04 PM,card,ANON-0000-0000-0009,28.9,Cortado
April,April  7:22:02 PM,card,ANON-0000-0000-0009,38.7,Latte
April,April  7:23:16 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  7:29:17 PM,cash,,40,Hot Chocolate
April,April  7:45:17 PM,cash,,40,Hot Chocolate
April,April  7:45:17 PM,card,ANON-0000-0000-0111,38.7,Cappuccino
